# Willis is a[n] _______ settlement.

# street name

# Corning street is a popular wide steet that is a[n] _________ primary route in the district
ZADD  street_age  30  { "name":"new",             "score":30    }
ZADD  street_age  40  { "name":"established",     "score":40    }
ZADD  street_age  60  { "name":"modern",          "score":60    }
ZADD  street_age  80  { "name":"old",             "score":80    }
ZADD  street_age 100  { "name":"ancient",         "score":100   }

# Corning street is an unpopular narrow road that is an ancient  _________ route in the region
ZADD  street_important  50  { "name":"minor",      "score":50    }
ZADD  street_important  90  { "name":"major",      "score":90    }
ZADD  street_important 100  { "name":"primary",    "score":100   }

# Corning street is an unpopular ______ road that is an ancient major route in the region
ZADD  street_size  50  { "name":"narrow",           "score":50    }
ZADD  street_size  90  { "name":"broad",            "score":90    }
ZADD  street_size 100  { "name":"wide",             "score":100   }

ZADD  street_popularity  50  { "name":"unpopular",  "score":50    }
ZADD  street_popularity  70  { "name":"common",     "score":70    }
ZADD  street_popularity 100  { "name":"popular",    "score":100   }

# Boson ________ is a[n] popular  ______ that runs ________
LPUSH street_kind path
LPUSH street_kind trail
LPUSH street_kind track
LPUSH street_kind boardwalk
LPUSH street_kind byway
LPUSH street_kind avenue
LPUSH street_kind passage
LPUSH street_kind road
LPUSH street_kind street
LPUSH street_kind route
LPUSH street_kind throughway

ZADD street_pollution 10  {"name":"pristine",     "score":10  }
ZADD street_pollution 20  {"name":"sterile",     "score":20  }
ZADD street_pollution 30  {"name":"clean",     "score":30  }
ZADD street_pollution 40  {"name":"tidy",     "score":40  }
ZADD street_pollution 60  {"name":"disheveled",     "score":60  }
ZADD street_pollution 70  {"name":"grungy",     "score":70  }
ZADD street_pollution 80  {"name":"poluted",     "score":80  }
ZADD street_pollution 90  {"name":"filthy",     "score":90  }
ZADD street_pollution 91  {"name":"squalid",     "score":91  }


#        <terrain>
ZADD street_terrain 10  {"name":"flat",     "score":10  }
ZADD street_terrain 20  {"name":"even",     "score":20  }
ZADD street_terrain 30  {"name":"rolling",     "score":30  }
ZADD street_terrain 40  {"name":"hilly",     "score":40  }
ZADD street_terrain 60  {"name":"uneven",     "score":60  }
ZADD street_terrain 70  {"name":"rough",     "score":70  }
ZADD street_terrain 80  {"name":"rugged",     "score":80  }
ZADD street_terrain 90  {"name":"broken",     "score":90  }
ZADD street_terrain 91  {"name":"jagged",     "score":91  }
#
#        <pollution>
#
#        <moral>
ZADD street_moral 4  {"name":"untrustworthy",                                    "score":4  }
ZADD street_moral 8  {"name":"mean",                                    "score":8  }
ZADD street_moral 12  {"name":"venomous",                                    "score":12  }
